user_sequence,challenge
4577_11,CI24261
4577_12,CI27282
4577_13,CI26052
4578_11,CI24261
4578_12,CI27282
4578_13,CI26052
4579_11,CI24261
4579_12,CI23975
4579_13,CI26955
4583_11,CI24917
4583_12,CI24261
4583_13,CI27282
4584_11,CI24261
4584_12,CI23933
4584_13,CI27282
4586_11,CI24917
4586_12,CI24261
4586_13,CI27282
4588_11,CI23855
4588_12,CI24261
4588_13,CI27282
4589_11,CI26155
4589_12,CI26156
4589_13,CI26173
4594_11,CI27282
4594_12,CI26052
4594_13,CI25634
4595_11,CI26155
4595_12,CI26156
4595_13,CI26173
4597_11,CI26155
4597_12,CI26157
4597_13,CI26173
4598_11,CI24917
4598_12,CI24261
4598_13,CI27282
4599_11,CI24261
4599_12,CI27282
4599_13,CI26052
4600_11,CI24917
4600_12,CI24261
4600_13,CI27282
4601_11,CI26155
4601_12,CI26156
4601_13,CI26157
4603_11,CI24261
4603_12,CI23714
4603_13,CI27282
4605_11,CI24261
4605_12,CI23975
4605_13,CI26955
4607_11,CI24261
4607_12,CI27282
4607_13,CI26052
4608_11,CI24917
4608_12,CI24261
4608_13,CI23933
4610_11,CI27282
4610_12,CI26052
4610_13,CI25634
4613_11,CI24261
4613_12,CI23975
4613_13,CI23913
4614_11,CI24917
4614_12,CI24261
4614_13,CI23933
4620_11,CI24917
4620_12,CI24261
4620_13,CI23933
4621_11,CI24917
4621_12,CI24261
4621_13,CI27282
4623_11,CI24261
4623_12,CI23975
4623_13,CI26955
4627_11,CI24917
4627_12,CI24261
4627_13,CI23933
4628_11,CI24261
4628_12,CI27282
4628_13,CI26052
4633_11,CI24917
4633_12,CI24261
4633_13,CI27282
4634_11,CI23714
4634_12,CI27282
4634_13,CI26052
4636_11,CI26155
4636_12,CI26156
4636_13,CI26157
4640_11,CI26155
4640_12,CI26173
4640_13,CI26213
4649_11,CI24917
4649_12,CI27282
4649_13,CI26052
4650_11,CI26155
4650_12,CI26173
4650_13,CI26213
4651_11,CI28530
4651_12,CI27920
4651_13,CI27928
4655_11,CI24917
4655_12,CI24261
4655_13,CI27282
4656_11,CI24917
4656_12,CI24261
4656_13,CI23933
4657_11,CI24917
4657_12,CI24261
4657_13,CI23714
4659_11,CI24261
4659_12,CI27282
4659_13,CI26052
4665_11,CI26155
4665_12,CI26157
4665_13,CI26173
4666_11,CI24261
4666_12,CI23975
4666_13,CI26955
4667_11,CI23855
4667_12,CI24261
4667_13,CI27282
4668_11,CI26155
4668_12,CI26156
4668_13,CI26157
4671_11,CI26155
4671_12,CI26156
4671_13,CI26157
4674_11,CI24917
4674_12,CI24261
4674_13,CI27282
4676_11,CI24261
4676_12,CI23714
4676_13,CI27282
4682_11,CI24261
4682_12,CI27282
4682_13,CI26052
4685_11,CI26165
4685_12,CI26173
4685_13,CI26213
4686_11,CI24261
4686_12,CI23933
4686_13,CI27282
4690_11,CI26155
4690_12,CI26156
4690_13,CI26157
4697_11,CI26157
4697_12,CI26173
4697_13,CI26213
4699_11,CI24917
4699_12,CI24261
4699_13,CI23933
4702_11,CI28567
4702_12,CI28530
4702_13,CI27920
4705_11,CI26155
4705_12,CI26156
4705_13,CI26157
4707_11,CI24261
4707_12,CI27282
4707_13,CI26052
4708_11,CI24261
4708_12,CI23975
4708_13,CI26955
4712_11,CI26157
4712_12,CI26173
4712_13,CI26213
4714_11,CI24261
4714_12,CI27282
4714_13,CI25634
4715_11,CI26155
4715_12,CI26157
4715_13,CI26173
4716_11,CI24261
4716_12,CI27282
4716_13,CI26052
4723_11,CI26155
4723_12,CI26156
4723_13,CI26173
4724_11,CI26155
4724_12,CI26156
4724_13,CI26157
4726_11,CI24917
4726_12,CI24261
4726_13,CI23714
4730_11,CI23663
4730_12,CI24230
4730_13,CI27805
4731_11,CI24917
4731_12,CI24261
4731_13,CI27282
4733_11,CI26155
4733_12,CI26156
4733_13,CI26173
4735_11,CI26155
4735_12,CI26156
4735_13,CI26157
4737_11,CI26155
4737_12,CI26156
4737_13,CI26157
4738_11,CI24261
4738_12,CI27282
4738_13,CI26052
4739_11,CI26156
4739_12,CI26173
4739_13,CI26213
4740_11,CI26155
4740_12,CI26156
4740_13,CI26173
4742_11,CI26155
4742_12,CI26156
4742_13,CI26157
4746_11,CI26155
4746_12,CI26156
4746_13,CI26173
4747_11,CI24261
4747_12,CI23933
4747_13,CI27282
4749_11,CI24261
4749_12,CI27282
4749_13,CI26052
4751_11,CI24917
4751_12,CI23933
4751_13,CI27282
4753_11,CI26155
4753_12,CI26156
4753_13,CI26157
4755_11,CI24917
4755_12,CI24261
4755_13,CI23933
4758_11,CI24261
4758_12,CI27282
4758_13,CI26052
4761_11,CI24917
4761_12,CI24261
4761_13,CI27282
4762_11,CI24261
4762_12,CI23714
4762_13,CI27282
4767_11,CI24261
4767_12,CI23714
4767_13,CI27282
4770_11,CI24917
4770_12,CI24261
4770_13,CI23933
4773_11,CI24261
4773_12,CI23933
4773_13,CI23714
4774_11,CI26155
