,challenge_ID,programming_language,author_ID,Year,total_submissions
0,CI24917,1,AI564588,2007,43409.0
1,CI23855,1,AI563823,2006,20993.0
2,CI24261,1,AI564133,2005,20674.0
3,CI23933,1,AI563783,2006,15086.0
4,CI23714,1,AI563766,2006,14723.0
5,CI27282,1,AI563611,2008,13643.0
6,CI26052,1,AI565401,2008,10560.0
7,CI25634,1,AI565118,2007,10250.0
8,CI23975,1,AI563823,2005,9204.0
9,CI23612,1,AI563688,2006,9020.0
10,CI23663,1,AI563724,2004,8897.0
11,CI25142,1,AI564747,2007,7731.0
12,CI24915,1,AI563790,2007,7389.0
13,CI26155,1,AI565468,1999,6968.0
14,CI24958,1,AI564617,2007,6842.0
15,CI24530,1,AI563815,2006,6814.0
16,CI24527,1,AI564348,2006,6726.0
17,CI24621,1,AI563680,2003,6596.0
18,CI26938,1,AI565908,1999,6376.0
19,CI28567,1,AI563867,2009,6216.0
20,CI25727,1,AI565117,2008,6211.0
21,CI26955,1,AI565910,2005,6012.0
22,CI26939,1,AI565909,2005,5911.0
23,CI23913,1,AI563915,2005,5681.0
24,CI26165,1,AI565468,1999,5516.0
25,CI25135,1,AI563754,2007,5446.0
26,CI24230,1,AI564118,2004,5255.0
27,CI26948,1,AI565910,2005,5248.0
28,CI26940,1,AI565910,2005,5186.0
29,CI24672,1,AI564418,2005,5103.0
30,CI24225,1,AI564116,2005,5080.0
31,CI24931,1,AI564601,2007,4882.0
32,CI23691,1,AI563749,2005,4823.0
33,CI26956,1,AI565910,2005,4807.0
34,CI26051,1,AI563691,2008,4787.0
35,CI27805,1,AI566371,2004,4735.0
36,CI24525,1,AI564275,2006,4728.0
37,CI27644,1,AI566294,2008,4709.0
38,CI26156,1,AI565468,1999,4566.0
39,CI23517,2,AI563611,2004,4419.0
40,CI25126,1,AI563872,2007,4269.0
41,CI24534,1,AI564349,2006,4233.0
42,CI24138,1,AI564056,2003,4078.0
43,CI23667,1,AI563732,2003,3980.0
44,CI26157,1,AI565468,1999,3962.0
45,CI26173,1,AI565468,1999,3956.0
46,CI25769,1,AI563611,2007,3911.0
47,CI26213,1,AI565468,1999,3901.0
48,CI23769,1,AI563754,2005,3796.0
49,CI26164,1,AI565468,1999,3773.0
50,CI24426,1,AI564267,2006,3759.0
51,CI27414,1,AI564206,2008,3751.0
52,CI26176,1,AI565469,2003,3729.0
53,CI25056,1,AI564684,2007,3713.0
